	domain	domain_len	domain_precison	domain_recall	fold_imp	pos_frac	pos_num	prob
0	SH3_9	23	1.0	0.46153846153846156	0.7692307692307692	0.5652173913043478	6	0.8
1	SH3_1	19	1.0	0.125	1.375	0.42105263157894735	1	0.7
2	SH3_9	23	1.0	0.6923076923076923	0.7692307692307692	0.5652173913043478	9	0.7
3	SH3_1	19	1.0	0.25	1.375	0.42105263157894735	2	0.6
4	Kelch_1	42	0.6666666666666666	0.6666666666666666	8.666666666666666	0.07142857142857142	3	0.6
5	SH3_9	23	1.0	0.6923076923076923	0.7692307692307692	0.5652173913043478	9	0.6
6	SH3_1	19	1.0	0.5	1.375	0.42105263157894735	4	0.5
7	Kelch_1	42	0.6666666666666666	0.6666666666666666	8.666666666666666	0.07142857142857142	3	0.5
8	SH3_9	23	1.0	0.8461538461538461	0.7692307692307692	0.5652173913043478	11	0.5
9	SH3_1	19	1.0	0.5	1.375	0.42105263157894735	4	0.4
10	Kelch_1	42	0.6666666666666666	0.6666666666666666	8.666666666666666	0.07142857142857142	3	0.4
11	SH3_9	23	1.0	0.9230769230769231	0.7692307692307692	0.5652173913043478	12	0.4
12	SH3_1	19	1.0	0.75	1.375	0.42105263157894735	6	0.3
13	Kelch_1	42	0.6	1.0	7.799999999999999	0.07142857142857142	5	0.3
14	SH3_9	23	1.0	0.9230769230769231	0.7692307692307692	0.5652173913043478	12	0.3
15	SH3_1	19	1.0	0.875	1.375	0.42105263157894735	7	0.2
16	Kelch_1	42	0.5	1.0	6.5	0.07142857142857142	6	0.2
17	SH3_9	23	1.0	0.9230769230769231	0.7692307692307692	0.5652173913043478	12	0.2
18	Arm	9	1.0	0.25	1.25	0.4444444444444444	1	0.2
19	MHC_II_beta	61	1.0	0.16666666666666666	2.388888888888889	0.29508196721311475	3	0.1
20	Pkinase	60	1.0	0.4	11.0	0.08333333333333333	2	0.1
21	SH3_1	19	1.0	1.0	1.375	0.42105263157894735	8	0.1
22	Kelch_1	42	0.21428571428571427	1.0	2.7857142857142856	0.07142857142857142	14	0.1
23	Ank_5	37	1.0	0.4	6.4	0.13513513513513514	2	0.1
24	HEAT	8	1.0	0.25	1.0	0.5	1	0.1
25	RRM_1	28	0.0	0.0	0.0	0.07142857142857142	4	0.1
26	Hist_deacetyl	278	0.0	0.0	0.0	0.050359712230215826	1	0.1
27	Fibrinogen_C	219	0.0	0.0	0.0	0.0547945205479452	1	0.1
28	PWWP	73	0.5	0.2	6.8	0.0684931506849315	2	0.1
29	SH3_9	23	0.9230769230769231	0.9230769230769231	0.7100591715976331	0.5652173913043478	13	0.1
30	Arm	9	1.0	0.5	1.25	0.4444444444444444	2	0.1
31	PDZ	16	1.0	0.4	2.2	0.3125	2	0.1
32	MHC_II_beta	61	0.8888888888888888	0.4444444444444444	2.1234567901234565	0.29508196721311475	9	0.05
33	Pkinase	60	1.0	0.4	11.0	0.08333333333333333	2	0.05
34	SH3_1	19	1.0	1.0	1.375	0.42105263157894735	8	0.05
35	Y_phosphatase	179	0.3333333333333333	0.2	5.633333333333334	0.055865921787709494	6	0.05
36	Kelch_1	42	0.125	1.0	1.625	0.07142857142857142	24	0.05
37	Ank_5	37	0.75	0.6	4.8	0.13513513513513514	4	0.05
38	HEAT	8	1.0	0.25	1.0	0.5	1	0.05
39	RRM_1	28	0.0	0.0	0.0	0.07142857142857142	5	0.05
40	Hist_deacetyl	278	0.16666666666666666	0.07142857142857142	3.142857142857143	0.050359712230215826	6	0.05
41	WW	23	0.0	0.0	0.0	0.4782608695652174	1	0.05
42	Fibrinogen_C	219	0.0	0.0	0.0	0.0547945205479452	1	0.05
43	PWWP	73	0.3	0.6	4.08	0.0684931506849315	10	0.05
