	rna_max	rna_entropy	rna_thresh_25	rna_thresh_50	rna_thresh_75	rna_zthresh_above_0.5	rna_zthresh_above_1	rna_zthresh_above_2	rna_zthresh_above_3	rna_sig_win_num	domain_length	avg_protein_len	avg_phastCons	avg_phyloP	avg_maf	avg_blosum	avg_hindex	avg_positve_cnt	avg_solvent_acc	avg_helix_prob	avg_sheet_prob	avg_turn_prob	max_pfam_C	max_pfam_H	max_pfam_K	max_pfam_R	pfam_prob_max	cnt_pfam_conserved	dna_max	dna_entropy	dna_thresh_25	dna_thresh_50	dna_thresh_75	dna_zthresh_above_0.5	dna_zthresh_above_1	dna_zthresh_above_2	dna_zthresh_above_3	dna_sig_win_num	ion_max	ion_entropy	ion_thresh_25	ion_thresh_50	ion_thresh_75	ion_zthresh_above_0.5	ion_zthresh_above_1	ion_zthresh_above_2	ion_zthresh_above_3	ion_sig_win_num	peptide_max	peptide_entropy	peptide_thresh_25	peptide_thresh_50	peptide_thresh_75	peptide_zthresh_above_0.5	peptide_zthresh_above_1	peptide_zthresh_above_2	peptide_zthresh_above_3	peptide_sig_win_num	sm_max	sm_entropy	sm_thresh_25	sm_thresh_50	sm_thresh_75	sm_zthresh_above_0.5	sm_zthresh_above_1	sm_zthresh_above_2	sm_zthresh_above_3	sm_sig_win_num
2OG-FeII_Oxy_3	0.0005848617292940618	0.9719991337396985	0.9895833333333334	0.78125	0.23958333333333334	0.0	0.0	0.0	0.0	35	96.0	498.7534462932899	0.910980154725866	4.854861419441642	1.2704122504058439e-05	-0.3934332160894661	-0.260832656926407	0.9270833333333334	45.9191571969697	0.12556328125000002	0.3819784496753247	0.4931240936147186	0.08729692850275737	0.9052537389947356	0.30028297467169224	0.5547820195237726	0.9052537389947356	9.0	0.004924667067825793	0.7561921397788921	0.9583333333333334	0.8125	0.4166666666666667	0.0	0.0	0.0	0.0	53	0.7529083490371704	0.28612675683978445	0.9895833333333334	0.8229166666666666	0.46875	0.03125	0.03125	0.03125	0.020833333333333332	67	0.002812551334500313	0.8365120394037581	0.9270833333333334	0.5208333333333334	0.22916666666666666	0.0	0.0	0.0	0.0	35.0	0.5965467095375061	0.9708265341506633	0.8854166666666666	0.8125	0.5520833333333334	0.3229166666666667	0.17708333333333334	0.07291666666666667	0.052083333333333336	68
7TM_GPCR_Srsx	0.00011657401046250017	0.993520186676224	0.054474708171206226	0.011673151750972763	0.0	0.0	0.0	0.0	0.0	0	257.0	390.401372013918	0.7172689340598788	3.3562691585542566	0.00044641189159456675	-0.3574875744565102	0.8145281176187295	10.124513618677042	44.28816079771236	0.6250209960510532	0.09792829616137294	0.27573156949725575	0.8395073897015064	0.2046569737811671	0.4440802453987785	0.4301161459097215	0.8557388766673972	16.0	0.000437998358393088	0.9273846724801074	0.9416342412451362	0.49416342412451364	0.12840466926070038	0.0	0.0	0.0	0.0	46	0.0071918643079698094	0.8611694214757359	0.7237354085603113	0.4280155642023346	0.1867704280155642	0.0	0.0	0.0	0.0	68	0.0040629245340824145	0.8874734076981382	0.8521400778210116	0.5291828793774319	0.1556420233463035	0.0	0.0	0.0	0.0	54.0	0.14715811610221866	0.9978515800235901	0.7821011673151751	0.4357976653696498	0.17898832684824903	0.06614785992217899	0.011673151750972763	0.0	0.0	55
7tm_1	0.0012092988472431898	0.8638470830494551	0.4626865671641791	0.08208955223880597	0.05970149253731343	0.0	0.0	0.0	0.0	21	268.0	360.13060020146224	0.4362882676059289	1.5913803530620372	0.0010443833951098828	-0.45373970574225503	0.6706667710209326	39.20522388059702	45.649088943815926	0.5926028290801723	0.09676764724178095	0.3096665101242266	0.8603465549787759	0.09685599414764083	0.31100073607657386	0.9030476124405172	0.9472805294912424	16.0	0.001710150158032775	0.9127391310048778	0.996268656716418	0.7910447761194029	0.26865671641791045	0.0	0.0	0.0	0.0	93	0.048087850213050835	0.716646353962989	0.9440298507462687	0.6865671641791045	0.2798507462686567	0.007462686567164179	0.0	0.0	0.0	98	0.0036063948646187774	0.9484912509707072	1.0	0.9626865671641791	0.4552238805970149	0.0	0.0	0.0	0.0	174.0	0.19665412604808807	0.9962367930510168	0.996268656716418	0.9701492537313433	0.6268656716417911	0.3283582089552239	0.17537313432835822	0.0037313432835820895	0.0	226
7tm_2	6.341566768242046e-05	0.9983816054770904	0.00816326530612245	0.0	0.0	0.0	0.0	0.0	0.0	0	245.0	1095.489108843936	0.7753202815662121	3.4857680305030065	0.0002859267575541178	-0.29783080798102046	0.8561531973265949	3.204081632653061	43.42313636855235	0.6480319660495817	0.09120416126308166	0.2599278706977126	0.8171602981512456	0.4207821658466046	0.3256409125345525	0.3727117299841887	0.8488099239580039	17.0	0.00025657235528342415	0.8607154170207215	0.23265306122448978	0.10204081632653061	0.02040816326530612	0.0	0.0	0.0	0.0	6	0.3136403858661652	0.30896983627103025	0.6693877551020408	0.37551020408163266	0.17142857142857143	0.004081632653061225	0.004081632653061225	0.004081632653061225	0.004081632653061225	51	0.010884196497499945	0.7822037792266825	0.8530612244897959	0.4897959183673469	0.16326530612244897	0.00816326530612245	0.0	0.0	0.0	43.0	0.2628418803215027	0.9963690394090251	0.5224489795918368	0.2938775510204082	0.1346938775510204	0.053061224489795916	0.0326530612244898	0.004081632653061225	0.004081632653061225	45
7tm_3	0.00010764560283860192	0.9943666300263686	0.04201680672268908	0.01680672268907563	0.0	0.0	0.0	0.0	0.0	0	238.0	926.2914417840498	0.8155975747884603	4.033113465254181	6.12973213737728e-05	-0.28685303841816445	0.7785209937244435	1.6470588235294117	45.97662628129402	0.595769530507578	0.11069071323904363	0.2931616979088286	0.7479942411758981	0.1536005311909701	0.5677239397356092	0.4074650976125277	0.7479942411758981	6.0	0.00016013484855648133	0.8871518611235503	0.24789915966386555	0.1092436974789916	0.008403361344537815	0.0	0.0	0.0	0.0	3	0.04248375073075295	0.7341763635951417	0.865546218487395	0.5882352941176471	0.1638655462184874	0.004201680672268907	0.0	0.0	0.0	53	0.0016949041746556759	0.8539819878397102	0.40756302521008403	0.15546218487394958	0.029411764705882353	0.0	0.0	0.0	0.0	6.0	0.15059785544872284	0.9978326970809978	0.7016806722689075	0.4117647058823529	0.19747899159663865	0.046218487394957986	0.012605042016806723	0.0	0.0	64
7tm_4	0.00033330259611830115	0.9788130929062471	0.9071428571428571	0.37142857142857144	0.09642857142857143	0.0	0.0	0.0	0.0	32	280.0	317.5121011655807	0.2079187874005392	0.3188848587899682	0.0017055403728611787	-0.4584644099382458	0.7996317926770574	25.510714285714286	42.447707156916955	0.601717497232481	0.10090885112563634	0.2965447914127308	0.4725508116247306	0.3912963804000871	0.4054612382532503	0.4365553969810992	0.5579254096491179	7.0	0.07208184897899628	0.8885925472499616	1.0	1.0	1.0	0.014285714285714285	0.0035714285714285713	0.0035714285714285713	0.0	280	0.1519356369972229	0.6991206170076288	0.9571428571428572	0.8285714285714286	0.6285714285714286	0.010714285714285714	0.007142857142857143	0.007142857142857143	0.0	200	0.012751525267958641	0.9269910307106981	1.0	0.9785714285714285	0.525	0.0035714285714285713	0.0	0.0	0.0	204.0	0.18741999566555026	0.9982069481579022	1.0	1.0	0.9357142857142857	0.625	0.1392857142857143	0.0035714285714285713	0.0	280
A2M_N_2	0.00019948571571148932	0.9869855635733342	0.7410071942446043	0.18705035971223022	0.014388489208633094	0.0	0.0	0.0	0.0	0	139.0	1623.50196699783	0.5771195741195743	1.6218725088725088	0.0006176561725533857	-0.25328879753340183	0.08470652049788735	0.762589928057554	50.19074825853603	0.03799789882379811	0.5636478160328879	0.39892758364736786	0.13960755098028887	0.08006231580243442	0.27390334234351216	0.20029580101697925	0.8228017453279549	5.0	0.0002818504872266203	0.9336928349753582	0.8848920863309353	0.4316546762589928	0.05755395683453238	0.0	0.0	0.0	0.0	7	0.011331113055348395	0.7934613237632913	0.5683453237410072	0.17266187050359713	0.050359712230215826	0.0	0.0	0.0	0.0	4	0.003678141860291362	0.8835357463951782	0.9496402877697842	0.6618705035971223	0.2949640287769784	0.0	0.0	0.0	0.0	53.0	0.184783935546875	0.9984377396138332	0.8633093525179856	0.49640287769784175	0.1079136690647482	0.014388489208633094	0.007194244604316547	0.007194244604316547	0.0	17
AAA_12	0.0003641688672360033	0.9721088713837447	0.685	0.315	0.055	0.0	0.0	0.0	0.0	10	200.0	1718.6056596320343	0.8289713826836033	3.9011756460797202	6.252665852326839e-05	-0.09494642857142857	-0.14564918831168838	1.445	50.78437077922078	0.3543215746753247	0.2192062483766234	0.4269389063852815	0.12206031148113552	0.18542032574675416	0.3132605520684901	0.8010835742225896	0.8843697805672811	20.0	0.0002196610148530453	0.9192661423582319	0.68	0.305	0.05	0.0	0.0	0.0	0.0	14	0.021233854815363884	0.842909597682415	0.875	0.595	0.315	0.0	0.0	0.0	0.0	90	0.0074382200837135315	0.7763605655009388	0.555	0.285	0.125	0.0	0.0	0.0	0.0	33.0	0.4227166771888733	0.9789389565975981	0.67	0.44	0.265	0.17	0.11	0.075	0.065	71
AAA_17	0.001204964006319642	0.9330276775070806	1.0	0.8382352941176471	0.33088235294117646	0.0	0.0	0.0	0.0	74	136.0	481.8758032000678	0.8420896159317213	3.671216216216216	0.0003968531358522197	-0.21891339869281046	-0.41211564171122994	1.338235294117647	54.45475108225109	0.4967618432221373	0.11330561709532298	0.39132202195272053	0.20721466377212	0.2914986221386049	0.7810001008602608	0.4384453957540821	0.9092092620709848	6.0	0.00023862518719397485	0.8820078420449284	0.27941176470588236	0.08088235294117647	0.007352941176470588	0.0	0.0	0.0	0.0	0	0.0018150639953091734	0.9340461953961208	0.7132352941176471	0.3014705882352941	0.08088235294117647	0.0	0.0	0.0	0.0	3	0.0010637261439114813	0.9182284379058154	0.7867647058823529	0.40441176470588236	0.051470588235294115	0.0	0.0	0.0	0.0	5.0	0.3885320723056793	0.9852314086619179	0.9485294117647058	0.6985294117647058	0.2647058823529412	0.1323529411764706	0.08088235294117647	0.051470588235294115	0.03676470588235294	59
AAA_18	0.0010191643377766009	0.936297886222715	0.8846153846153846	0.5230769230769231	0.17692307692307693	0.0	0.0	0.0	0.0	25	130.0	478.41928432678435	0.8660014367816091	3.822424090038314	0.00010046576144466647	-0.27470529470529464	-0.3864109501609502	1.3615384615384616	53.5186623931624	0.4835116025641025	0.13401483516483517	0.38364231823731826	0.1954520887351141	0.16561159853848875	0.8256948538892998	0.9121689991402684	0.9858116174364194	9.0	0.0020396430045366287	0.76676231138838	0.7923076923076923	0.3769230769230769	0.14615384615384616	0.0	0.0	0.0	0.0	20	0.06231565028429033	0.6798512730624677	0.9307692307692308	0.7076923076923077	0.4	0.007692307692307693	0.007692307692307693	0.0	0.0	73	0.003925492521375418	0.7876584709266193	0.7076923076923077	0.4076923076923077	0.11538461538461539	0.0	0.0	0.0	0.0	11.0	0.579903781414032	0.9684128121761255	0.9307692307692308	0.7384615384615385	0.4153846153846154	0.24615384615384617	0.2076923076923077	0.12307692307692308	0.08461538461538462	72
