	name	length
0	1-cysPrx_C	40
1	120_Rick_ant	246
2	12TM_1	449
3	14-3-3	222
4	17kDa_Anti_2	116
5	2-Hacid_dh	134
6	2-Hacid_dh_C	178
7	2-oxoacid_dh	233
8	2-oxogl_dehyd_N	41
9	2-ph_phosp	226
10	23ISL	162
11	23S_rRNA_IVP	106
12	2CSK_N	140
13	2C_adapt	35
14	2Fe-2S_Ferredox	34
15	2Fe-2S_thioredx	145
16	2H-phosphodiest	116
17	2HCT	416
18	2OG-FeII_Oxy	101
19	2OG-FeII_Oxy_2	199
20	2OG-FeII_Oxy_3	96
21	2OG-FeII_Oxy_4	93
22	2OG-FeII_Oxy_5	101
23	2OG-Fe_Oxy_2	191
24	2TM	76
25	2_5_RNA_ligase2	152
26	3-alpha	44
27	3-dmu-9_3-mt	116
28	3-HAO	151
29	3-PAP	132
30	3A	236
31	3Beta_HSD	282
32	3D	75
33	3H	97
34	3HBOH	689
35	3HCDH	97
36	3HCDH_N	180
37	40S_S4_C	48
38	40S_SA_C	95
39	4F5	38
40	4HBT	79
41	4HBT_2	123
42	4HBT_3	249
43	4HB_MCP_1	181
44	4HFCP_synth	228
45	4_1_CTD	107
46	5-FTHF_cyc-lig	187
47	5-nucleotidase	266
48	53-BP1_Tudor	122
49	5HT_transport_N	41
50	5TM-5TMR_LYT	169
51	5_3_exonuc	97
52	5_3_exonuc_N	159
53	5_nucleotid	457
54	5_nucleotid_C	158
55	60KD_IMP	166
56	6PF2K	223
57	6PGD	289
58	7kD_coat	59
59	7kD_DNA_binding	58
60	7TM-7TMR_HD	193
61	7TMR-DISMED2	133
62	7TMR-DISM_7TM	205
63	7TMR-HDED	218
64	7tm_1	268
65	7tm_2	245
66	7tm_3	238
67	7tm_4	280
68	7tm_6	313
69	7tm_7	371
70	7TM_GPCR_Sra	328
71	7TM_GPCR_Srab	324
72	7TM_GPCR_Srb	236
73	7TM_GPCR_Srbc	275
74	7TM_GPCR_Srd	292
75	7TM_GPCR_Srh	302
76	7TM_GPCR_Sri	303
77	7TM_GPCR_Srj	310
78	7TM_GPCR_Srsx	257
79	7TM_GPCR_Srt	313
80	7TM_GPCR_Sru	304
81	7TM_GPCR_Srv	283
82	7TM_GPCR_Srw	319
83	7TM_GPCR_Srx	262
84	7TM_GPCR_Srz	267
85	7TM_GPCR_Str	307
86	7TM_transglut	249
87	8TM_micro	255
88	A-2_8-polyST	492
89	A1_Propeptide	29
90	A2L_zn_ribbon	33
91	A2M	92
92	A2M_comp	249
93	A2M_N	96
94	A2M_N_2	139
95	A2M_recep	92
96	AAA	132
97	AAA-ATPase_like	280
98	AAA_10	362
99	AAA_11	259
100	AAA_12	200
101	AAA_13	713
102	AAA_14	131
103	AAA_15	385
104	AAA_16	170
105	AAA_17	136
106	AAA_18	130
107	AAA_19	146
108	AAA_2	171
109	AAA_21	303
110	AAA_22	137
111	AAA_23	200
112	AAA_24	197
113	AAA_25	194
114	AAA_26	200
115	AAA_27	207
116	AAA_28	163
117	AAA_29	61
118	AAA_3	131
119	AAA_30	192
120	AAA_31	177
121	AAA_32	514
122	AAA_33	143
123	AAA_34	303
124	AAA_35	331
125	AAA_5	138
126	AAA_6	231
127	AAA_7	272
128	AAA_8	268
129	AAA_9	220
130	AAA_assoc	96
131	AAA_assoc_2	81
132	AAA_assoc_C	119
133	AAA_PrkA	358
134	AalphaY_MDB	145
135	AAL_decarboxy	219
136	AAR2	352
137	AARP2CN	86
138	AAT	226
139	AATase	480
140	AATF-Che1	140
141	AA_kinase	241
142	AA_permease	479
143	AA_permease_2	425
144	AA_permease_C	51
145	AA_permease_N	70
146	AA_synth	175
147	Aa_trans	409
148	ABATE	128
149	ABA_GPCR	181
150	ABA_WDS	78
151	AbbA_antirepres	63
152	ABC-3	258
153	ABC1	119
154	ABC2_membrane	210
