	name	GA
0	1-cysPrx_C	20.4
1	120_Rick_ant	21.0
2	12TM_1	33.0
3	14-3-3	24.6
4	17kDa_Anti_2	26.6
5	2-Hacid_dh	24.6
6	2-Hacid_dh_C	25.1
7	2-oxoacid_dh	23.0
8	2-oxogl_dehyd_N	27.0
9	2-ph_phosp	26.4
10	23ISL	25.0
11	23S_rRNA_IVP	23.4
12	2CSK_N	21.0
13	2C_adapt	20.1
14	2Fe-2S_Ferredox	25.0
15	2Fe-2S_thioredx	24.8
16	2H-phosphodiest	21.0
17	2HCT	26.2
18	2OG-FeII_Oxy	21.3
19	2OG-FeII_Oxy_2	27.0
20	2OG-FeII_Oxy_3	27.0
21	2OG-FeII_Oxy_4	21.4
22	2OG-FeII_Oxy_5	27.0
23	2OG-Fe_Oxy_2	23.1
24	2TM	24.8
25	2_5_RNA_ligase2	27.0
26	3-alpha	22.7
27	3-dmu-9_3-mt	21.1
28	3-HAO	20.4
29	3-PAP	23.2
30	3A	25.0
31	3Beta_HSD	20.0
32	3D	23.8
33	3H	25.0
34	3HBOH	27.0
35	3HCDH	21.6
36	3HCDH_N	22.0
37	40S_S4_C	27.0
38	40S_SA_C	25.0
39	4F5	22.3
40	4HBT	20.6
41	4HBT_2	25.5
42	4HBT_3	27.0
43	4HB_MCP_1	27.0
44	4_1_CTD	25.0
45	5-FTHF_cyc-lig	20.9
46	5-nucleotidase	24.5
47	53-BP1_Tudor	20.5
48	5HT_transport_N	20.3
49	5TM-5TMR_LYT	22.3
50	5_3_exonuc	40.0
51	5_3_exonuc_N	27.6
52	5_nucleotid	28.5
53	5_nucleotid_C	23.6
54	60KD_IMP	27.7
55	6PF2K	21.7
56	6PGD	20.4
57	7kD_coat	21.1
58	7kD_DNA_binding	25.0
59	7TM-7TMR_HD	29.4
60	7TMR-DISMED2	21.3
61	7TMR-DISM_7TM	27.5
62	7TMR-HDED	24.9
63	7tm_1	23.8
64	7tm_2	20.6
65	7tm_3	28.5
66	7tm_4	27.0
67	7tm_6	25.8
68	7tm_7	26.6
69	7TM_GPCR_Sra	18.9
70	7TM_GPCR_Srab	20.1
71	7TM_GPCR_Srb	21.7
72	7TM_GPCR_Srbc	21.3
73	7TM_GPCR_Srd	22.8
74	7TM_GPCR_Srh	24.8
75	7TM_GPCR_Sri	20.6
76	7TM_GPCR_Srj	24.1
77	7TM_GPCR_Srsx	20.4
78	7TM_GPCR_Srt	21.0
79	7TM_GPCR_Sru	26.0
80	7TM_GPCR_Srv	20.3
81	7TM_GPCR_Srw	21.1
