	altered_positions	non-altered_positions
2OG-FeII_Oxy_3	198	793
7TM_GPCR_Srsx	7311	25355
7tm_1	37990	120933
7tm_2	2556	8809
7tm_3	1108	3841
7tm_4	26383	80061
A2M	130	684
A2M_N	151	689
A2M_N_2	223	993
A2M_comp	402	1773
A2M_recep	112	691
AAA	1252	6044
AAA_11	485	2024
AAA_12	449	1834
AAA_17	281	1125
AAA_18	271	1121
AAA_33	327	1732
AAA_5	1585	6237
AAA_6	692	2978
AAA_7	832	3229
AAA_8	817	2930
AAA_9	653	2392
AA_permease	2270	7586
AA_permease_2	1422	4716
ABC2_membrane_3	1390	4648
ABC_membrane	2431	8137
ABC_tran	2407	8095
ADAM_CR	430	1564
ADAM_spacer1	713	1979
ADH_N	318	1175
ADH_zinc_N	460	1711
ADK	301	1320
AMP-binding	3043	10384
AMP-binding_C	322	1071
ANAPC3	159	810
ANAPC4_WD40	721	3589
ANATO	40	234
ANF_receptor	2305	9334
APC_r	32	228
APOBEC_C	275	808
APOBEC_N	564	1930
ARID	142	1139
Aa_trans	1407	4800
Abhydrolase_1	1184	4644
Abhydrolase_6	463	1740
Acetyltransf_1	448	1909
Actin	1912	8812
Acyl-CoA_dh_1	463	1337
Acyl-CoA_dh_2	343	1029
Acyl-CoA_dh_M	343	1093
Acyl-CoA_dh_N	291	940
Acyltransferase	375	1674
Adap_comp_sub	605	2216
Adaptin_N	1100	5571
Aldedh	1989	6015
Aldo_ket_red	950	3053
Aminotran_1_2	1250	4624
Ank	3659	16492
Ank_2	6617	30505
Ank_3	2668	11274
Ank_4	5642	26273
Ank_5	4757	22362
Annexin	778	3180
Anticodon_1	199	663
Arf	2891	15253
ArfGap	497	2982
Arm	859	4336
Arm_2	281	2427
Arrestin_C	311	979
Arrestin_N	336	1228
Asp	574	2529
BACK	1108	4825
BAH	189	1094
BAR	627	2750
BAR_3	423	2403
BEN	164	771
BEX	178	1321
BIR	157	904
BNR_2	304	753
BRCT	420	1815
BTB	2450	12061
BTB_2	842	3838
Band_7	339	1571
Bcl-2	208	875
Beta_helix	289	1393
Biotin_lipoyl	167	536
Bromodomain	604	4004
C1-set	1722	5060
C1-set_C	61	200
C1_1	600	3256
C1q	843	3111
C2	3981	16423
C2-set_2	1436	4445
C4	278	1014
C8	615	2314
CAMSAP_CH	454	1946
CAP	390	1402
CAP_GLY	183	856
CARD	528	1921
CBFD_NFYB_HMF	831	2335
CBS	269	1193
CCDC144C	242	3587
CD20	594	2007
CD225	184	619
CENP-B_N	83	447
CH	1885	8582
CIMR	479	1436
CNH	679	3217
COLFI	528	1918
COesterase	1371	5677
CRAL_TRIO	588	2285
CRAL_TRIO_2	506	2165
CS	184	775
CSD	127	644
CT47	91	3460
CUB	3845	12151
CUT	144	855
Cadherin	14743	49628
Cadherin_2	1081	4204
Cadherin_3	1507	5082
Cadherin_C	586	1914
Cadherin_C_2	1151	2929
Cadherin_tail	1161	3417
Calpain_III	466	1397
Calponin	58	241
Calx-beta	695	2673
Carb_anhydrase	918	3347
CarboxypepD_reg	208	861
Cation_ATPase	614	2084
Cation_ATPase_C	556	2491
Cation_ATPase_N	241	990
Choline_transpo	296	1291
