	filename	index	length
0	ACKR1.003.exons.txt	466	3
1	ADGRL2.012.exons.txt	1	1
2	AGRN.002.exons.txt	1	2
3	AK5.005.exons.txt	1	1
4	AKIRIN1.004.exons.txt	1	1
5	AMPD2.004.exons.txt	1	2
6	AMPD2.007.exons.txt	262	3
7	AMPD2.008.exons.txt	5	2
8	AMPD2.009.exons.txt	312	1
9	AMPD2.011.exons.txt	5	2
10	AMPD2.013.exons.txt	1	1
11	AMY1A.003.exons.txt	316	3
12	AMY2A.001.exons.txt	1	2
13	ARHGEF16.005.exons.txt	441	1
14	ARID1A.004.exons.txt	369	1
15	ARID1A.005.exons.txt	1	1
16	ARV1.003.exons.txt	1	1
17	ARV1.004.exons.txt	1	1
18	ATAD3A.001.exons.txt	1	2
19	ATG4C.002.exons.txt	570	1
20	ATG4C.004.exons.txt	1	1
21	ATG4C.005.exons.txt	456	1
22	ATP1A1.005.exons.txt	320	2
23	ATP1A2.003.exons.txt	1	1
24	ATP1B1.003.exons.txt	391	3
25	ATP2B4.002.exons.txt	1	1
26	ATP2B4.005.exons.txt	1	1
27	ATP2B4.006.exons.txt	1	1
28	ATP6V0B.002.exons.txt	1	2
29	ATP6V0B.005.exons.txt	259	3
30	AXDND1.005.exons.txt	456	1
31	AXDND1.006.exons.txt	370	3
32	BCAN.003.exons.txt	642	1
33	BLZF1.005.exons.txt	384	1
34	BNIPL.002.exons.txt	1	1
35	BNIPL.004.exons.txt	301	3
36	BRDT.006.exons.txt	531	1
37	BRDT.007.exons.txt	467	2
38	BRDT.008.exons.txt	43	3
39	BRDT.009.exons.txt	1388	3
40	BRDT.010.exons.txt	96	1
41	BRDT.011.exons.txt	157	3
42	BRDT.012.exons.txt	467	2
43	BRDT.013.exons.txt	289	3
44	BRDT.014.exons.txt	602	2
45	BRDT.015.exons.txt	191	2
46	BRDT.016.exons.txt	302	2
47	BROX.002.exons.txt	646	3
48	C1orf106.003.exons.txt	371	2
49	C1orf106.004.exons.txt	122	2
50	C1orf167.001.exons.txt	1	2
51	C1orf167.002.exons.txt	1	2
52	C1orf167.003.exons.txt	1	1
53	C1orf226.001.exons.txt	514	3
54	C1orf228.001.exons.txt	347	2
55	C1orf228.002.exons.txt	246	1
56	C1orf228.003.exons.txt	630	1
57	C1orf228.004.exons.txt	1	2
58	C1orf53.002.exons.txt	1	2
59	C1QA.003.exons.txt	663	1
60	C4BPB.005.exons.txt	544	3
61	CACNA1E.007.exons.txt	1316	2
62	CAMSAP2.003.exons.txt	1	2
63	CAMSAP2.005.exons.txt	1	2
64	CAMTA1.004.exons.txt	1	1
65	CAMTA1.006.exons.txt	1	1
66	CAMTA1.007.exons.txt	1	1
67	CAP1.007.exons.txt	177	1
68	CAP1.008.exons.txt	524	2
69	CAP1.009.exons.txt	529	3
70	CAP1.010.exons.txt	611	2
71	CAP1.011.exons.txt	625	3
72	CAP1.012.exons.txt	540	1
73	CAP1.014.exons.txt	648	1
74	CCDC18.002.exons.txt	1	1
75	CCDC18.005.exons.txt	1	2
76	CCDC18.006.exons.txt	1	1
77	CD1C.002.exons.txt	1	2
78	CD1E.007.exons.txt	1	2
79	CD46.011.exons.txt	1	1
80	CD55.002.exons.txt	1	1
81	CDC7.003.exons.txt	473	2
82	CDK18.002.exons.txt	852	1
83	CDK18.007.exons.txt	543	1
84	CEP350.005.exons.txt	1	2
85	CEP85.002.exons.txt	1	1
86	CFAP57.002.exons.txt	1	2
87	CFAP57.004.exons.txt	499	3
88	CGN.002.exons.txt	1	1
89	CHI3L2.003.exons.txt	606	1
90	CHI3L2.006.exons.txt	1	1
91	CHI3L2.009.exons.txt	369	1
92	CHI3L2.011.exons.txt	509	2
