,number,count,name,domains
1,55114,61,oxidation-reduction process,SelR.Ald_Xan_dh_C2.UDPG_MGDP_dh_C.Fer2_2.Ribonuc_red_lgN.Ribonuc_red_lgC.GDC-P.Cu_amine_oxid.Ldh_1_C.Cu_amine_oxidN3.NO_synthase.NAD_Gly3P_dh_C.2-Hacid_dh.ERO1.Rieske_2.Catalase.Evr1_Alr.AhpC-TSA.Pyr_redox_dim.Cu2_monooxygen.Cu-oxidase.G6PD_C.Mo-co_dimer.Ribonuc_red_sm.GMC_oxred_C.Coprogen_oxidas.Sod_Fe_N.Sod_Fe_C.Gp_dh_C.Sod_Cu.UDPG_MGDP_dh.DHFR_1.Iso_dh.Cu-oxidase_2.Heme_oxygenase.Rieske.ELFV_dehydrog_N.PMSR.Lipoxygenase.FAD_binding_5.FAD_binding_4.FAD_binding_1.3HCDH.Biopterin_H.RPE65.MTHFR.IMPDH.malic.Molybdopterin.6PGD.THF_DHG_CYH.Fe-ADH.COX2_TM.Glycogen_syn.Ald_Xan_dh_C.Catalase-rel.Cu2_monoox_C.FAD_binding_6.FAD_binding_7.Fe_hyd_lg_C.Ribonuc_L-PSP
2,3735,58,structural constituent of ribosome,Ribosomal_S7e.Ribosomal_L2_C.ribosomal_L24.Ribosomal_S5_C.Ribosomal_S30.Ribosomal_S8.Ribosomal_L36.Ribosomal_L34.Ribosomal_L39.Ribosomal_S2.Ribosomal_S28e.Ribosomal_L15e.Ribosomal_L35p.Ribosomal_S13.Ribosomal_S11.Ribosomal_S16.Ribosomal_S14.Ribosomal_S15.Ribosomal_S18.Ribosomal_S19.Ribosomal_L28.Ribosomal_L29.Ribosomal_L26.Ribosomal_L27.Ribosomal_L20.Ribosomal_L22.Ribosomal_L23.Ribosomal_L4.Ribosomal_L6.Ribosomal_L3.Ribosomal_L2.Ribosomal_S6e.Ribosomal_S9.Ribosomal_S5.Ribosomal_S6.Ribosomal_L14.Ribosomal_L17.Ribosomal_L16.Ribosomal_L11.Ribosomal_L13.Ribosomal_L19.Ribosomal_L37e.Ribosomal_L21e.Ribosomal_L32e.Ribosomal_L5e.Ribosomal_S19e.Ribosomal_L1.Ribosomal_L11_N.Ribosomal_L27A.Ribosomal_L30.Ribosomal_L5.Ribosomal_L5_C.Ribosomal_L9_N.Ribosomal_S10.Ribosomal_S17_N.Ribosomal_S3_C.Ribosomal_S4e.Ribosomal_S7
3,6412,70,translation,Ribosomal_S7e.Ribosomal_L2_C.ribosomal_L24.Ribosomal_S5_C.Ribosomal_S30.Ribosomal_S8.Ribosomal_L36.Ribosomal_L34.Ribosomal_L39.Ribosomal_S2.Ribosomal_S28e.Ribosomal_L15e.Ribosomal_L35p.Ribosomal_S13.Ribosomal_S11.Ribosomal_S16.Ribosomal_S14.Ribosomal_S15.Ribosomal_S18.Ribosomal_S19.Ribosomal_L29.Ribosomal_L26.Ribosomal_L27.Ribosomal_L20.Ribosomal_L22.Ribosomal_L23.Ribosomal_L4.Ribosomal_L6.Ribosomal_L3.Ribosomal_L2.Ribosomal_S6e.Ribosomal_S9.Ribosomal_S5.Ribosomal_S6.Ribosomal_L14.Ribosomal_L17.Ribosomal_L16.Ribosomal_L11.Ribosomal_L13.Ribosomal_L19.Ribosomal_L37e.Ribosomal_L21e.Ribosomal_L32e.Ribosomal_L5e.Ribosomal_S19e.eIF-5_eIF-2B.eIF-1a.SUI1.IF4E.tRNA-synt_2.tRNA-synt_1c_C.tRNA-synt_2b.DALR_1.Arg_tRNA_synt_N.tRNA-synt_1d.RF-1.tRNA-synt_2c.ProRS-C_1.Ribosomal_L1.Ribosomal_L11_N.Ribosomal_L27A.Ribosomal_L30.Ribosomal_L5.Ribosomal_L5_C.Ribosomal_L9_N.Ribosomal_S10.Ribosomal_S17_N.Ribosomal_S3_C.Ribosomal_S4e.Ribosomal_S7
4,5840,58,ribosome,Ribosomal_S7e.Ribosomal_L2_C.ribosomal_L24.Ribosomal_S5_C.Ribosomal_S30.Ribosomal_S8.Ribosomal_L36.Ribosomal_L34.Ribosomal_L39.Ribosomal_S2.Ribosomal_S28e.Ribosomal_L15e.Ribosomal_L35p.Ribosomal_S13.Ribosomal_S11.Ribosomal_S16.Ribosomal_S14.Ribosomal_S15.Ribosomal_S18.Ribosomal_S19.Ribosomal_L29.Ribosomal_L27.Ribosomal_L20.Ribosomal_L22.Ribosomal_L23.Ribosomal_L4.Ribosomal_L6.Ribosomal_L3.Ribosomal_L2.Ribosomal_S6e.Ribosomal_S9.Ribosomal_S5.Ribosomal_S6.Ribosomal_L14.Ribosomal_L17.Ribosomal_L16.Ribosomal_L11.Ribosomal_L13.Ribosomal_L19.Ribosomal_L37e.Ribosomal_L21e.Ribosomal_L21p.Ribosomal_L32e.Ribosomal_L5e.Ribosomal_S19e.Ribosomal_L26.Ribosomal_L1.Ribosomal_L11_N.Ribosomal_L27A.Ribosomal_L30.Ribosomal_L5.Ribosomal_L5_C.Ribosomal_L9_N.Ribosomal_S10.Ribosomal_S17_N.Ribosomal_S3_C.Ribosomal_S4e.Ribosomal_S7
5,5524,39,ATP binding,TPK_catalytic.MutS_III.DnaB_C.Sigma54_activat.Ribonuc_red_lgN.DALR_1.Helicase_C_2.DNA_gyraseB.GSH_synth_ATP.HSP90.tRNA-synt_2.GHMP_kinases_N.DNA_mis_repair.Hexokinase_2.MutL_C.ATP-grasp_3.GMP_synt_C.UPF1_Zn_bind.tRNA_SAD.MutS_IV.Ins_P5_2-kin.Alpha_kinase.MutS_I.Arg_tRNA_synt_N.DNA_ligase_A_M.ProRS-C_1.DNA_topoisoIV.tRNA-synt_1c_C.Furin-like.tRNA-synt_2c.tRNA-synt_2b.tRNA-synt_2d.Fumble.CPSase_L_D2.tRNA-synt_1d.DNA_photolyase.DNA_pol_B_thumb.GHMP_kinases_C.GMP_PDE_delta
6,3677,46,DNA binding,Rep-A_N.DNA_pol_B.DNA_pol_A.PCNA_N.PCNA_C.zf-PARP.PC4.RNA_pol_N.DNA_gyraseB.RNA_pol_Rpb2_7.RNA_pol_Rpb2_6.RNA_pol_Rpb2_1.RNA_pol_Rpb2_3.TBP.Topoisom_I_N.UPF1_Zn_bind.RNA_pol_Rpb1_2.RNA_pol_Rpb1_1.RNA_pol_Rpb1_4.RNA_pol_Rpb1_5.ERCC4.RNA_pol_Rpb1_3.Topoisom_bac.RHD_DNA_bind.Topoisom_I.LAG1-DNAbind.DNA_ligase_A_N.RNA_pol.DNA_topoisoIV.STAT_bind.POT1.SRF-TF.Pur_DNA_glyco.HHH.MutS_III.DNA_mis_repair.MutS_IV.OGG_N.H2TH.BTD.P53.mTERF.DNA_photolyase.DNA_pol_B_thumb.RNA_ligase.Rep_fac-A_C
7,5622,100,intracellular,Ribosomal_S7e.ribosomal_L24.Ribosomal_S30.Peptidase_C12.Peptidase_M17.Ribosomal_L36.Ribosomal_L34.Ribosomal_L39.Ribosomal_S2.Ribosomal_S28e.IP_trans.Ribosomal_L35p.Ribosomal_S13.Ribosomal_S16.Ribosomal_S14.Ribosomal_S15.Ribosomal_S18.Ribosomal_L29.Ribosomal_L27.Ribosomal_L20.Ribosomal_L3.Ribosomal_L2.Ribosomal_S6e.Ribosomal_L17.Ribosomal_L10.Ribosomal_L19.Ribosomal_L37e.Ribosomal_L21e.Ribosomal_L32e.Ribosomal_L5e.Ribosomal_L2_C.Ribosomal_S5_C.Ribosomal_S8.Ribosomal_L15e.Ribosomal_S11.Ribosomal_S19.Ribosomal_L22.Ribosomal_L23.Ribosomal_L4.Ribosomal_L6.Ribosomal_S9.Ribosomal_L14.Ribosomal_L16.Ribosomal_L11.Ribosomal_L13.Ribosomal_L21p.Ribosomal_S19e.PAD.APG12.GLTP.DHHA2.UPF1_Zn_bind.PAD_M.Pyrophosphatase.Arg_tRNA_synt_N.ProRS-C_1.tRNA-synt_1c_C.tRNA-synt_2d.IF4E.PMM.Tyr_Deacylase.Rep-A_N.Rad1.BTD.ASF1_hist_chap.zf-TAZ.Cbl_N.ORC5_C.Tyr-DNA_phospho.LAG1-DNAbind.Ssu72.SRP_SPB.SRP19.Rad9.ATP-synt.Med18.zf-CDGSH.POT1.Gcd10p.Proteasome_A_N.Topoisom_I_N.Alpha_adaptinC2.Ribosomal_L26.Dynein_light.ERO1.SRP14.Acetyltransf_16.Rep_fac-A_C.Ribosomal_L1.Ribosomal_L11_N.Ribosomal_L27A.Ribosomal_L30.Ribosomal_L5.Ribosomal_L5_C.Ribosomal_L9_N.Ribosomal_S10.Ribosomal_S17_N.Ribosomal_S3_C.Ribosomal_S4e.Ribosomal_S7
8,5975,41,carbohydrate metabolic process,SIS.Glyco_hydro_18.Glyco_hydro_1.Glyco_hydro_65m.Glyco_hydro_20.NAD_Gly3P_dh_C.Alpha_L_fucos.FGGY_C.FGGY_N.Ribul_P_3_epim.Aldose_epim.Hexokinase_2.GSDH.Glyco_hydro_38.Alpha-amylase.Glucosamine_iso.ADP_PFK_GK.TAL_FSA.Glyco_hydro_2_C.Glyco_hydro_2_N.Melibiase_2.Phosphorylase.PARG_cat.PGM_PMM_III.Alpha-amylase_C.PGM_PMM_I.PGK.PGI.Glycolytic.Dak1.Dak2.Glycogen_syn.AbfB.NeuB.Trehalase.RbsD_FucU.G6PD_C.GalP_UDP_transf.Glyco_hydro_38C.NAD_binding_5.ADP_ribosyl_GH
9,8152,382,metabolic process,Isochorismatase.DHDPS.Aminotran_4.2-Hacid_dh.PAPS_reduct.Aconitase_C.Glycos_transf_3.Peptidase_M20.MM_CoA_mutase.Ligase_CoA.NAD_kinase.E1_dh.FAA_hydrolase.Acetyltransf_2.AstE_AspA.Alk_phosphatase.Aconitase.Thiolase_N.TIM.CoA_trans.TP_methylase.Tyrosinase.ACT.UDPGP.SelR.Ald_Xan_dh_C2.UDPG_MGDP_dh_C.Fer2_2.Ribonuc_red_lgN.Ribonuc_red_lgC.GDC-P.Cu_amine_oxid.Ldh_1_C.Cu_amine_oxidN3.NO_synthase.NAD_Gly3P_dh_C.ERO1.Rieske_2.Catalase.Evr1_Alr.AhpC-TSA.Pyr_redox_dim.Cu2_monooxygen.Cu-oxidase.G6PD_C.Mo-co_dimer.Ribonuc_red_sm.GMC_oxred_C.Coprogen_oxidas.Sod_Fe_N.Sod_Fe_C.Gp_dh_C.Sod_Cu.DHFR_1.Iso_dh.Cu-oxidase_2.Heme_oxygenase.ELFV_dehydrog_N.PMSR.Lipoxygenase.FAD_binding_5.FAD_binding_4.FAD_binding_1.3HCDH.Biopterin_H.RPE65.MTHFR.IMPDH.malic.Molybdopterin.6PGD.THF_DHG_CYH.Fe-ADH.Ribosomal_S7e.Ribosomal_L2_C.ribosomal_L24.Ribosomal_S5_C.Ribosomal_S30.Ribosomal_S8.Ribosomal_L36.Ribosomal_L34.Ribosomal_L39.Ribosomal_S2.Ribosomal_S28e.Ribosomal_L15e.Ribosomal_L35p.Ribosomal_S13.Ribosomal_S11.Ribosomal_S16.Ribosomal_S14.Ribosomal_S15.Ribosomal_S18.Ribosomal_S19.Ribosomal_L29.Ribosomal_L26.Ribosomal_L27.Ribosomal_L20.Ribosomal_L22.Ribosomal_L23.Ribosomal_L4.Ribosomal_L6.Ribosomal_S6e.Ribosomal_S9.Ribosomal_L14.Ribosomal_L17.Ribosomal_L16.Ribosomal_L11.Ribosomal_L13.Ribosomal_L19.Ribosomal_L37e.Ribosomal_L21e.Ribosomal_L32e.Ribosomal_L5e.Ribosomal_S19e.SIS.Glyco_hydro_18.Glyco_hydro_65m.Glyco_hydro_20.Alpha_L_fucos.FGGY_C.FGGY_N.Ribul_P_3_epim.Aldose_epim.Hexokinase_2.GSDH.Glyco_hydro_38.Alpha-amylase.Glucosamine_iso.ADP_PFK_GK.TAL_FSA.Glyco_hydro_2_C.Glyco_hydro_2_N.Melibiase_2.Phosphorylase.PARG_cat.PGM_PMM_III.Alpha-amylase_C.RNA_pol_A_bac.RNA_pol_L.RNA_pol_N.RNA_pol_Rpb2_7.RNA_pol_Rpb2_6.RNA_pol_Rpb2_1.RNA_pol_Rpb2_3.RNA_pol_Rpb1_2.RNA_pol_Rpb1_1.RNA_pol_Rpb1_4.RNA_pol_Rpb1_5.RNA_pol_Rpb1_3.mTERF.Sigma54_activat.PC4.BTD.YEATS.HAT_KAT11.zf-TAZ.PAH.RHD_DNA_bind.LAG1-DNAbind.DPPIV_N.Peptidase_M17.Peptidase_M13.Peptidase_M19.Peptidase_M18.Peptidase_S41.Peptidase_M13_N.Peptidase_S8.Propep_M14.Peptidase_S9.IMS.Methyltransf_1N.DNA_binding_1.Tyr-DNA_phospho.DNA_ligase_A_C.DNA_ligase_A_M.DNA_ligase_A_N.RQC.Endonuclease_5.Rep-A_N.DnaB_C.DNA_pol_A.ORC5_C.DNA_gyraseB.Topoisom_I_N.Topoisom_bac.DNA_topoisoIV.MutS_III.DNA_mis_repair.MutL_C.MutS_IV.NTP_transferase.CTP_transf_like.Formyl_trans_C.Formyl_trans_N.SQS_PSY.eIF-5_eIF-2B.eIF-1a.SUI1.IF4E.polyprenyl_synt.HMG_CoA_synt_C.IspD.HMG_CoA_synt_N.GMP_synt_C.AICARFT_IMPCHas.Adenylsucc_synt.OTCace_N.Porphobil_deam.Porphobil_deamC.ALAD.tRNA-synt_2.tRNA-synt_1c_C.tRNA-synt_2b.DALR_1.Arg_tRNA_synt_N.tRNA-synt_1d.Alpha_kinase.Furin-like.Focal_AT.Proteasome_A_N.Cullin.Peptidase_C12.S-AdoMet_synt_C.S-AdoMet_synt_M.S-AdoMet_synt_N.Gln-synt_N.CN_hydrolase.Gln-synt_C.ATP-synt_ab_C.ATP-synt_DE_N.PGK.PGI.Glycolytic.tRNA_SAD.tRNA-synt_2d.DNA_primase_lrg.DNA_primase_S.PCNA_N.PCNA_C.HhH-GPD.Pur_DNA_glyco.OGG_N.H2TH.Ribonucleas_3_3.SpoU_methylase.mRNA_cap_enzyme.Ssu72.Thg1.TGT.BPL_LplA_LipB.UEV.ART.PARP_reg.PRO8NT.PROCN.Glutaminase.Peptidase_C26.NAD_binding_5.CDP-OH_P_transf.URO-D.PNP_UDP_1.Pribosyltran.TPK_catalytic.TPK_B1_binding.Oxidored_molyb.PseudoU_synth_2.PseudoU_synth_1.MoeA_C.MoeA_N.IPPT.Fibrillarin.Frataxin_Cyay.NifU_N.Dak1.Dak2.Helicase_C_2.DNA_pol_A_exo1.STT3.PGM_PMM_IV.APG12.MafB19-deam.OMPdecase.RF-1.UPF1_Zn_bind.Med18.AIRC.CAF1.COX2_TM.Asn_synthase.DS.GDPD.GSH_synth_ATP.PAP_central.Ferrochelatase.Glyco_transf_64.POT1.Rib_5-P_isom_A.PTE.Nuc_deoxyrib_tr.5_nucleotid_C.Trp_dioxygenase.dUTPase.Flavokinase.Tyr_Deacylase.Glycogen_syn.Amidase_2.NT5C.AdoHcyase.QRPTase_C.TBP.AbfB.Pyridoxal_deC.PIP5K.Acetyltransf_16.Fumble.tRNA-synt_2c.NeuB.PAD_M.ProRS-C_1.DcpS.Trehalase.Inositol_P.Gcd10p.Pyrophosphatase.RbsD_FucU.GalP_UDP_transf.Glyco_hydro_38C.Methyltransf_PK.5-FTHF_cyc-lig.ADP_ribosyl_GH.ATP-cone.ATP-grasp.ATP-grasp_2.ATP-grasp_4.ATP_bind_3.Ald_Xan_dh_C.Amidase.Aminotran_5.CTP_transf_3.Catalase-rel.Cu2_monoox_C.Cullin_binding.DNA_photolyase.DNA_pol_B_thumb.DcpS_C.E1_DerP2_DerF2.FAD_binding_6.FAD_binding_7.Fe_hyd_lg_C.GMP_PDE_delta.Glyco_hydro_15.Glyco_hydro_30.Glyco_hydro_35.Glyco_tranf_2_3.Glyco_trans_1_2.Glyco_trans_1_4.Glyco_trans_4_4.Glyco_transf_4.Glyco_transf_41.Glycos_transf_1.Methyltransf_24.NAD_synthase.NTP_transf_3.PAP_assoc.PNP_phzG_C.Pribosyltran_N.RNA_ligase.Rep_fac-A_C.Ribonuc_L-PSP.Ribosomal_L1.Ribosomal_L11_N.Ribosomal_L27A.Ribosomal_L30.Ribosomal_L5.Ribosomal_L5_C.Ribosomal_L9_N.Ribosomal_S10.Ribosomal_S17_N.Ribosomal_S3_C.Ribosomal_S4e.Ribosomal_S7.S-methyl_trans
10,3824,329,catalytic activity,SpoIIE.HMGL-like.Glyco_hydro_65m.Isochorismatase.FAD-oxidase_C.Flavoprotein.Aminotran_4.CTP_transf_like.PNP_UDP_1.PAPS_reduct.Radical_SAM.Ligase_CoA.CoA_transf_3.TPP_enzyme_C.FAA_hydrolase.DNA_binding_1.Alpha-amylase.HpcH_HpaI.Orn_Arg_deC_N.Orn_DAP_Arg_deC.IMPDH.Alpha-amylase_C.THF_DHG_CYH.Ald_Xan_dh_C2.Fer2_2.AhpC-TSA.Mo-co_dimer.Cu-oxidase_2.Rieske.ELFV_dehydrog_N.FAD_binding_5.FAD_binding_4.FAD_binding_1.3HCDH.Tyrosinase.FMN_red.Molybdopterin.Fe-ADH.RNA_pol_A_bac.RNA_pol_L.RNA_pol_N.RNA_pol_Rpb2_7.RNA_pol_Rpb2_6.RNA_pol_Rpb2_1.RNA_pol_Rpb2_3.RNA_pol_Rpb1_2.RNA_pol_Rpb1_1.RNA_pol_Rpb1_4.RNA_pol_Rpb1_5.RNA_pol_Rpb1_3.Endonuclease_NS.Asparaginase_2.Peptidase_M20.5_nucleotid_C.dUTPase.Ham1p_like.Amidohydro_2.Amidohydro_1.Peptidase_C26.Creatinase_N.DcpS.Glyco_hydro_18.Glyco_hydro_20.Alpha-mann_mid.Glyco_hydro_2_C.Glyco_hydro_2_N.Melibiase_2.UDPG_MGDP_dh_C.Ldh_1_C.2-Hacid_dh.Iso_dh.VRR_NUC.TatD_DNase.Lipase_GDSL.AstE_AspA.Tyr_Deacylase.Methyltransf_PK.Methyltr_RsmB-F.Fibrillarin.TP_methylase.EMG1.FGGY_C.FGGY_N.Hexokinase_2.ADP_PFK_GK.tRNA-synt_2.tRNA-synt_1c_C.tRNA-synt_2b.tRNA-synt_2d.Peptidase_S9_N.Rhomboid.Peptidase_S8.SHMT.SQS_PSY.SepSecS.S-AdoMet_synt_C.S-AdoMet_synt_M.S-AdoMet_synt_N.Rotamase.Aldose_epim.RbsD_FucU.PGM_PMM_IV.PGM_PMM_III.DALR_1.Arg_tRNA_synt_N.tRNA-synt_1d.DNA_ligase_A_C.DNA_ligase_A_M.DNA_ligase_A_N.Acetyltransf_10.Acetyltransf_3.Acetyltransf_7.Peptidase_S41.Peptidase_M17.Peptidase_M18.DNA_pol_A_exo1.DNA_pol_B_exo1.Gln-synt_N.Gln-synt_C.Dak1.Dak2.NMT.NMT_C.HAT_KAT11.zf-TAZ.Lipoxygenase.RPE65.Porphobil_deam.Porphobil_deamC.HMG_CoA_synt_C.HMG_CoA_synt_N.Formyl_trans_C.Formyl_trans_N.OTCace_N.Thiolase_N.FR47.UbiA.Prenyltransf.ATP-gua_PtransN.XPG_I.ERCC4.PAD.PAD_M.Sod_Fe_N.Sod_Fe_C.Cu_amine_oxid.Cu_amine_oxidN3.PseudoU_synth_2.PseudoU_synth_1.DNA_primase_lrg.DNA_primase_S.Topoisom_I_N.DNA_gyraseB.DNA_topoisoIV.GDPD.Tyr-DNA_phospho.Catalase.Thg1.Coprogen_oxidas.Acetyltransf_2.DHFR_1.MafB19-deam.NT5C.Proteasome_A_N.Propep_M14.DSBA.Peptidase_M13.RQC.TIM.COX2.Ferrochelatase.GMC_oxred_C.Gp_dh_C.E1_dh.Sdh_cyt.IPK.G6PD_C.PGI.Glutaminase.GSH_synth_ATP.Glycogen_syn.GDC-P.mRNA_cap_enzyme.UPF1_Zn_bind.Aminotran_3.Heme_oxygenase.Biopterin_H.Pyrophosphatase.OGG_N.Carn_acyltransf.Glycos_transf_3.Glyco_tran_28_C.malic.TGT.MTHFR.NTP_transferase.CDP-OH_P_transf.Alk_phosphatase.Glyco_hydro_99.H2TH.NAD_binding_5.QRPTase_C.NO_synthase.Endonuclease_5.CN_hydrolase.RNase_H.Ribonucleas_3_3.RIG-I_C-RD.Helicase_C_2.CAF1.DHDPS.Pyridoxal_deC.Trehalase.Glyco_hydro_38.Alpha_L_fucos.Ribul_P_3_epim.Glyco_hydro_47.Peptidase_M19.STT3.MM_CoA_mutase.Ins_P5_2-kin.GatB_N.tRNA_SAD.OMPdecase.Fumble.GSDH.6PGD.PGK.Dala_Dala_lig_C.AICARFT_IMPCHas.Amidase_2.PAP_central.ALAD.Alpha_kinase.Evr1_Alr.Focal_AT.Furin-like.Ssu72.Ribonuc_red_lgN.Rib_5-P_isom_A.ATP-sulfurylase.TPK_catalytic.ACPS.tRNA-synt_2c.ProRS-C_1.Trp_dioxygenase.Peptidase_C12.Rieske_2.URO-D.A_deaminase.DHHA2.Adenylsucc_synt.Citrate_synt.UDPGP.SelR.Nuc_deoxyrib_tr.Ribonuclease_T2.PARG_cat.IspD.Acetyltransf_16.Glycolytic.Cu2_monooxygen.AbfB.AdoHcyase.PMSR.Glyco_hydro_38C.NAD_Gly3P_dh_C.DnaB_C.DOT1.RNA_helicase.ERO1.ECH_2.Urocanase.Pur_DNA_glyco.Methyltransf_1N.Topoisom_bac.GMP_synt_C.ATP-synt.PARP_reg.NAD_kinase.Rib_hydrolayse.ART.His_Phos_2.GalP_UDP_transf.ADK_lid.PIP5K.Pept_tRNA_hydro.Asn_synthase.SpoU_methylase.Flavokinase.Phosphorylase.5-FTHF_cyc-lig.ADP_ribosyl_GH.Ald_Xan_dh_C.Amidase.Amidohydro_3.Aminotran_5.Asparaginase.CTP_transf_3.Catalase-rel.Cu2_monoox_C.DNA_photolyase.DNA_pol_B_thumb.DcpS_C.E1_DerP2_DerF2.FAD_binding_6.FAD_binding_7.Fe_hyd_lg_C.GMP_PDE_delta.Glycos_transf_1.Lipase_GDSL_2.Methyltransf_24.NAD_synthase.NTP_transf_3.PAP_assoc.PNP_phzG_C.Peptidase_M16.Peptidase_M16_C.Peptidase_M16_M.Peptidase_M22.Peptidase_M23.Peptidase_M24.Peptidase_S24.RNA_ligase.RNase_HII.RNase_PH.RNase_PH_C.S-methyl_trans.Urocanase_C
