,number,count,name,domains
1,55114,52,oxidation-reduction process,SelR.Ald_Xan_dh_C2.UDPG_MGDP_dh_C.Fer2_2.Ribonuc_red_lgN.Ribonuc_red_lgC.GDC-P.Cu_amine_oxid.Ldh_1_C.Cu_amine_oxidN3.NO_synthase.NAD_Gly3P_dh_C.2-Hacid_dh.ERO1.Rieske_2.Catalase.Evr1_Alr.AhpC-TSA.Pyr_redox_dim.Cu2_monooxygen.Cu-oxidase.G6PD_C.Mo-co_dimer.Ribonuc_red_sm.GMC_oxred_C.Coprogen_oxidas.Sod_Fe_N.Sod_Fe_C.Gp_dh_C.Sod_Cu.UDPG_MGDP_dh.DHFR_1.Iso_dh.Cu-oxidase_2.Heme_oxygenase.Rieske.ELFV_dehydrog_N.PMSR.Lipoxygenase.FAD_binding_5.FAD_binding_4.FAD_binding_1.3HCDH.Biopterin_H.RPE65.MTHFR.IMPDH.malic.Molybdopterin.6PGD.THF_DHG_CYH.Fe-ADH
2,3735,46,structural constituent of ribosome,Ribosomal_S7e.Ribosomal_L2_C.ribosomal_L24.Ribosomal_S5_C.Ribosomal_S30.Ribosomal_S8.Ribosomal_L36.Ribosomal_L34.Ribosomal_L39.Ribosomal_S2.Ribosomal_S28e.Ribosomal_L15e.Ribosomal_L35p.Ribosomal_S13.Ribosomal_S11.Ribosomal_S16.Ribosomal_S14.Ribosomal_S15.Ribosomal_S18.Ribosomal_S19.Ribosomal_L28.Ribosomal_L29.Ribosomal_L26.Ribosomal_L27.Ribosomal_L20.Ribosomal_L22.Ribosomal_L23.Ribosomal_L4.Ribosomal_L6.Ribosomal_L3.Ribosomal_L2.Ribosomal_S6e.Ribosomal_S9.Ribosomal_S5.Ribosomal_S6.Ribosomal_L14.Ribosomal_L17.Ribosomal_L16.Ribosomal_L11.Ribosomal_L13.Ribosomal_L19.Ribosomal_L37e.Ribosomal_L21e.Ribosomal_L32e.Ribosomal_L5e.Ribosomal_S19e
3,6412,45,translation,Ribosomal_S7e.Ribosomal_L2_C.ribosomal_L24.Ribosomal_S5_C.Ribosomal_S30.Ribosomal_S8.Ribosomal_L36.Ribosomal_L34.Ribosomal_L39.Ribosomal_S2.Ribosomal_S28e.Ribosomal_L15e.Ribosomal_L35p.Ribosomal_S13.Ribosomal_S11.Ribosomal_S16.Ribosomal_S14.Ribosomal_S15.Ribosomal_S18.Ribosomal_S19.Ribosomal_L29.Ribosomal_L26.Ribosomal_L27.Ribosomal_L20.Ribosomal_L22.Ribosomal_L23.Ribosomal_L4.Ribosomal_L6.Ribosomal_L3.Ribosomal_L2.Ribosomal_S6e.Ribosomal_S9.Ribosomal_S5.Ribosomal_S6.Ribosomal_L14.Ribosomal_L17.Ribosomal_L16.Ribosomal_L11.Ribosomal_L13.Ribosomal_L19.Ribosomal_L37e.Ribosomal_L21e.Ribosomal_L32e.Ribosomal_L5e.Ribosomal_S19e
4,5840,45,ribosome,Ribosomal_S7e.Ribosomal_L2_C.ribosomal_L24.Ribosomal_S5_C.Ribosomal_S30.Ribosomal_S8.Ribosomal_L36.Ribosomal_L34.Ribosomal_L39.Ribosomal_S2.Ribosomal_S28e.Ribosomal_L15e.Ribosomal_L35p.Ribosomal_S13.Ribosomal_S11.Ribosomal_S16.Ribosomal_S14.Ribosomal_S15.Ribosomal_S18.Ribosomal_S19.Ribosomal_L29.Ribosomal_L27.Ribosomal_L20.Ribosomal_L22.Ribosomal_L23.Ribosomal_L4.Ribosomal_L6.Ribosomal_L3.Ribosomal_L2.Ribosomal_S6e.Ribosomal_S9.Ribosomal_S5.Ribosomal_S6.Ribosomal_L14.Ribosomal_L17.Ribosomal_L16.Ribosomal_L11.Ribosomal_L13.Ribosomal_L19.Ribosomal_L37e.Ribosomal_L21e.Ribosomal_L21p.Ribosomal_L32e.Ribosomal_L5e.Ribosomal_S19e
5,5524,35,ATP binding,TPK_catalytic.MutS_III.DnaB_C.Sigma54_activat.Ribonuc_red_lgN.DALR_1.Helicase_C_2.DNA_gyraseB.GSH_synth_ATP.HSP90.tRNA-synt_2.GHMP_kinases_N.DNA_mis_repair.Hexokinase_2.MutL_C.ATP-grasp_3.GMP_synt_C.UPF1_Zn_bind.tRNA_SAD.MutS_IV.Ins_P5_2-kin.Alpha_kinase.MutS_I.Arg_tRNA_synt_N.DNA_ligase_A_M.ProRS-C_1.DNA_topoisoIV.tRNA-synt_1c_C.Furin-like.tRNA-synt_2c.tRNA-synt_2b.tRNA-synt_2d.Fumble.CPSase_L_D2.tRNA-synt_1d
6,3677,34,DNA binding,Rep-A_N.DNA_pol_B.DNA_pol_A.PCNA_N.PCNA_C.zf-PARP.PC4.RNA_pol_N.DNA_gyraseB.RNA_pol_Rpb2_7.RNA_pol_Rpb2_6.RNA_pol_Rpb2_1.RNA_pol_Rpb2_3.TBP.Topoisom_I_N.UPF1_Zn_bind.RNA_pol_Rpb1_2.RNA_pol_Rpb1_1.RNA_pol_Rpb1_4.RNA_pol_Rpb1_5.ERCC4.RNA_pol_Rpb1_3.Topoisom_bac.RHD_DNA_bind.Topoisom_I.LAG1-DNAbind.DNA_ligase_A_N.RNA_pol.DNA_topoisoIV.STAT_bind.POT1.SRF-TF.Pur_DNA_glyco.HHH
7,5622,30,intracellular,Ribosomal_S7e.ribosomal_L24.Ribosomal_S30.Peptidase_C12.Peptidase_M17.Ribosomal_L36.Ribosomal_L34.Ribosomal_L39.Ribosomal_S2.Ribosomal_S28e.IP_trans.Ribosomal_L35p.Ribosomal_S13.Ribosomal_S16.Ribosomal_S14.Ribosomal_S15.Ribosomal_S18.Ribosomal_L29.Ribosomal_L27.Ribosomal_L20.Ribosomal_L3.Ribosomal_L2.Ribosomal_S6e.Ribosomal_L17.Ribosomal_L10.Ribosomal_L19.Ribosomal_L37e.Ribosomal_L21e.Ribosomal_L32e.Ribosomal_L5e
8,5975,26,carbohydrate metabolic process,SIS.Glyco_hydro_18.Glyco_hydro_1.Glyco_hydro_65m.Glyco_hydro_20.NAD_Gly3P_dh_C.Alpha_L_fucos.FGGY_C.FGGY_N.Ribul_P_3_epim.Aldose_epim.Hexokinase_2.GSDH.Glyco_hydro_38.Alpha-amylase.Glucosamine_iso.ADP_PFK_GK.TAL_FSA.Glyco_hydro_2_C.Glyco_hydro_2_N.Melibiase_2.Phosphorylase.PARG_cat.PGM_PMM_III.Alpha-amylase_C.PGM_PMM_I
9,8152,24,metabolic process,Isochorismatase.DHDPS.Aminotran_4.2-Hacid_dh.PAPS_reduct.Aconitase_C.Glycos_transf_3.Peptidase_M20.MM_CoA_mutase.Ligase_CoA.NAD_kinase.E1_dh.FAA_hydrolase.Acetyltransf_2.AstE_AspA.Alk_phosphatase.Aconitase.Thiolase_N.TIM.CoA_trans.TP_methylase.Tyrosinase.ACT.UDPGP
10,3824,23,catalytic activity,SpoIIE.HMGL-like.Glyco_hydro_65m.Isochorismatase.FAD-oxidase_C.Flavoprotein.Aminotran_4.CTP_transf_like.PNP_UDP_1.PAPS_reduct.Radical_SAM.Ligase_CoA.CoA_transf_3.TPP_enzyme_C.FAA_hydrolase.DNA_binding_1.Alpha-amylase.HpcH_HpaI.Orn_Arg_deC_N.Orn_DAP_Arg_deC.IMPDH.Alpha-amylase_C.THF_DHG_CYH
